sample,parent_id,expected_component_jobs,reference_vintage,reference_bbls,reference_recorded_area_sqft,development_area_sqft,excluded_building_area_sqft,prior_site_use,area_basis,review_source,review_basis,review_date,built_floor_area_estimated
post_policy,post_policy__X01250398-I1,X01250398-I1;X01297399-I1;X01297496-I1,23v3_1,2031780001,23000,23000,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025120500186002,Recorded December 3 2025 zoning certificate pp.2-3 names tentative lots 1/3/5 as current lot 1 and assigns all three filing addresses; diagram p.5 partitions the entire old site. Preserve the frozen 23000 land and use its recorded 21000 building floor directly. The schematic dimensions are not substituted for the administrative whole-lot area.,2026-09-22,FALSE
historical,historical__Q08032504,Q08032504;Q08032719,22v1,4018330103;4018330111;4018330120;4018330141;4018330143,158102,135609,0,,recorded_survey_area,https://extapps.dec.ny.gov/data/DecDocs/C241146H/Work%20Plan.BCP.C241146H.2023-12-08.Final%20Site%20Management%20Plan.pdf,"DEC SMP physical pp.8-9 and 15-17 identifies the two-building housing development on successor lots 120/130/135, with senior-housing lot 140 outside. Recorded easement pp.116-117 measures 135609 square feet including site lot 120. Current soccer-stadium filing is on separate block 1823. All five contributing earlier 22v1 parcels have zero recorded building floor and identical FARs. Preserve the original two DOB jobs and administrative 881 units.",2026-09-22,FALSE
historical,historical__X00561795,X00561795;X00673520,20v8,2023440001;2023440011;2023440027,42659,37661.3,0,,recorded_survey_area,https://extapps.dec.ny.gov/data/DecDocs/C203151/Certificate%20of%20Completion.BCP.C203151.2025-12-26.Copyrite_Plastic_Sheets_COC.pdf;https://extapps.dec.ny.gov/data/DecDocs/C203151/Work%20Plan.BCP.C203151.2025-12-10.SMP.pdf,DOF transaction 190544 explicitly names both NB jobs and reconfigures complete old lots 1/11/27 into 1/27. DEC SMP p.16 confirms that genealogy and both 14-story towers. COC pp.6-7 and survey p.9 measure the complete site at 37661.3 square feet and exclude retained lot 17. Use common pre-first-filing 20v8 zoning and all three earlier floor records: 20480+15800+10183=46463. The archival land sum 42659 is a source discrepancy; the recorded survey supplies development ground. No floor allocation is assumed.,2026-09-22,FALSE
post_policy,post_policy__B01312761-I1,B01312761-I1;B01313117-I1,23v3_1,3025670001,252780,173834,0,,city_documented_site_area,https://www.nyc.gov/assets/brooklyncb1/downloads/pdf/meeting-notices/2026/REVISED-Combined-Public-Hearing-and-Board-Meeting-Notice-06-09-26.pdf;https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2025082600703001,"CB1 notice pp.2-3 defines the complete two-building site and tentative lots 1/10 at approximately 173834 square feet including waterfront access. August 2025 confirmatory deed pp.2-3 independently defines its street-centerline and historic-bulkhead boundary; printed courses enclose 173827.90 square feet with 0.0082-foot closure error, agreeing within 6.10 square feet. Retain the city-stated 173834 (approximate) rather than the larger tax-water polygon. Preserve frozen 2023 zoning and the full recorded 1500 earlier floor; the 2016 survey in DEC amendment p.11 places site structures inside this boundary. Reviewed DOF boundary transaction 260940 changes the source map but does not introduce another development.",2026-09-22,FALSE
historical,historical__321595608,321595608;321595635;321588545,18v2_1,3022490037,2500,2507.6932424937427,0,,recorded_successor_area_with_mapped_zoning_allocation,https://mayafiles.tase.co.il/rpdf/1563001-1564000/P1563409-01.pdf;https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30224920210108124517,Appraisal pp289/320 and DOF map separate the three cohort buildings (39323 square feet) from earlier 251 Wallabout (32000). Current 25v4 lots23/122/7504 overlay common prefiling 18v2_1 lots37/41/122. Allocate each successor recorded area by its GIS overlap shares; this is a mapped zoning allocation. Old lot23 is outside. Every contributing old lot has zero recorded floor. Earlier and later lot37 have different boundaries; the later lot37 is the separate 251 site.,2026-09-22,FALSE
historical,historical__321595608,321595608;321595635;321588545,18v2_1,3022490041,47500,18342.520020157008,0,,recorded_successor_area_with_mapped_zoning_allocation,https://mayafiles.tase.co.il/rpdf/1563001-1564000/P1563409-01.pdf;https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30224920210108124517,Appraisal pp289/320 and DOF map separate the three cohort buildings (39323 square feet) from earlier 251 Wallabout (32000). Current 25v4 lots23/122/7504 overlay common prefiling 18v2_1 lots37/41/122. Allocate each successor recorded area by its GIS overlap shares; this is a mapped zoning allocation. Old lot23 is outside. Every contributing old lot has zero recorded floor. Earlier and later lot37 have different boundaries; the later lot37 is the separate 251 site.,2026-09-22,FALSE
historical,historical__321595608,321595608;321595635;321588545,18v2_1,3022490122,18805,18472.786737349248,0,,recorded_successor_area_with_mapped_zoning_allocation,https://mayafiles.tase.co.il/rpdf/1563001-1564000/P1563409-01.pdf;https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/30224920210108124517,Appraisal pp289/320 and DOF map separate the three cohort buildings (39323 square feet) from earlier 251 Wallabout (32000). Current 25v4 lots23/122/7504 overlay common prefiling 18v2_1 lots37/41/122. Allocate each successor recorded area by its GIS overlap shares; this is a mapped zoning allocation. Old lot23 is outside. Every contributing old lot has zero recorded floor. Earlier and later lot37 have different boundaries; the later lot37 is the separate 251 site.,2026-09-22,FALSE
historical,historical__220212918,220212918,22v1,2030430010,22381,22381,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20304320250507162556,"The four earlier parcels sum to40104 square feet and have zero recorded building area in22v1. DEC C203182 identifies the same four-lot site and describes2019 sitewide assessment and demolition; DOF2025 merger304542 and the2026 ZD1 for exactjob220212918 map the complete ground. The later eight-story design differs from the archived2022 ten-story proposal: original2022 footprint was not directly observed. Adopt the later exact-job site boundary to recover the earlier parcels, preserving287 archivedunits.",2026-09-22,FALSE
historical,historical__220212918,220212918,22v1,2030430016,7489,7489,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20304320250507162556,"The four earlier parcels sum to40104 square feet and have zero recorded building area in22v1. DEC C203182 identifies the same four-lot site and describes2019 sitewide assessment and demolition; DOF2025 merger304542 and the2026 ZD1 for exactjob220212918 map the complete ground. The later eight-story design differs from the archived2022 ten-story proposal: original2022 footprint was not directly observed. Adopt the later exact-job site boundary to recover the earlier parcels, preserving287 archivedunits.",2026-09-22,FALSE
historical,historical__220212918,220212918,22v1,2030430022,7581,7581,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20304320250507162556,"The four earlier parcels sum to40104 square feet and have zero recorded building area in22v1. DEC C203182 identifies the same four-lot site and describes2019 sitewide assessment and demolition; DOF2025 merger304542 and the2026 ZD1 for exactjob220212918 map the complete ground. The later eight-story design differs from the archived2022 ten-story proposal: original2022 footprint was not directly observed. Adopt the later exact-job site boundary to recover the earlier parcels, preserving287 archivedunits.",2026-09-22,FALSE
historical,historical__220212918,220212918,22v1,2030430023,2653,2653,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20304320250507162556,"The four earlier parcels sum to40104 square feet and have zero recorded building area in22v1. DEC C203182 identifies the same four-lot site and describes2019 sitewide assessment and demolition; DOF2025 merger304542 and the2026 ZD1 for exactjob220212918 map the complete ground. The later eight-story design differs from the archived2022 ten-story proposal: original2022 footprint was not directly observed. Adopt the later exact-job site boundary to recover the earlier parcels, preserving287 archivedunits.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080054,2500,2500,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,"DOF transaction86486 merges precisely these seven oldlots on2019-09-17 into lot59. The recorded200-by100-foot rectangle excludes retainedlots51/63 and matches the2020 vacant assessment and later160-unit building. Use the seven18v2beta land areas and18755 square feet of gross prior building floor once. The older three-unit job200649557 corresponds to the observed building on oldlot62, already included. Preserve160 archivedunits and the2019-07-25 filing date.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080055,5000,5000,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,"DOF transaction86486 merges precisely these seven oldlots on2019-09-17 into lot59. The recorded200-by100-foot rectangle excludes retainedlots51/63 and matches the2020 vacant assessment and later160-unit building. Use the seven18v2beta land areas and18755 square feet of gross prior building floor once. The older three-unit job200649557 corresponds to the observed building on oldlot62, already included. Preserve160 archivedunits and the2019-07-25 filing date.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080057,4000,4000,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,"DOF transaction86486 merges precisely these seven oldlots on2019-09-17 into lot59. The recorded200-by100-foot rectangle excludes retainedlots51/63 and matches the2020 vacant assessment and later160-unit building. Use the seven18v2beta land areas and18755 square feet of gross prior building floor once. The older three-unit job200649557 corresponds to the observed building on oldlot62, already included. Preserve160 archivedunits and the2019-07-25 filing date.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080059,2250,2250,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,"DOF transaction86486 merges precisely these seven oldlots on2019-09-17 into lot59. The recorded200-by100-foot rectangle excludes retainedlots51/63 and matches the2020 vacant assessment and later160-unit building. Use the seven18v2beta land areas and18755 square feet of gross prior building floor once. The older three-unit job200649557 corresponds to the observed building on oldlot62, already included. Preserve160 archivedunits and the2019-07-25 filing date.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080060,2100,2100,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,"DOF transaction86486 merges precisely these seven oldlots on2019-09-17 into lot59. The recorded200-by100-foot rectangle excludes retainedlots51/63 and matches the2020 vacant assessment and later160-unit building. Use the seven18v2beta land areas and18755 square feet of gross prior building floor once. The older three-unit job200649557 corresponds to the observed building on oldlot62, already included. Preserve160 archivedunits and the2019-07-25 filing date.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080061,2058,2058,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,"DOF transaction86486 merges precisely these seven oldlots on2019-09-17 into lot59. The recorded200-by100-foot rectangle excludes retainedlots51/63 and matches the2020 vacant assessment and later160-unit building. Use the seven18v2beta land areas and18755 square feet of gross prior building floor once. The older three-unit job200649557 corresponds to the observed building on oldlot62, already included. Preserve160 archivedunits and the2019-07-25 filing date.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080062,2092,2092,0,,archival_recorded_area,https://propertyinformationportal.nyc.gov/pdf/home/index/map_library/20330820190917174936,"DOF transaction86486 merges precisely these seven oldlots on2019-09-17 into lot59. The recorded200-by100-foot rectangle excludes retainedlots51/63 and matches the2020 vacant assessment and later160-unit building. Use the seven18v2beta land areas and18755 square feet of gross prior building floor once. The older three-unit job200649557 corresponds to the observed building on oldlot62, already included. Preserve160 archivedunits and the2019-07-25 filing date.",2026-09-22,FALSE
historical,historical__M00775662,M00775662,22v1,1021800027,8890,8890,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023061600265002,"The four22v1 parcels and2023 ACRIS exact-job boundary share the same stepped outer perimeter. DOF merger96795 retains the whole four-lot site. Recover45971 square feet of archival ground and all24839 square feet of prior synagogue floor. DOB NOW later reports42417 square feet of zoning-site area; no document establishes45971 as an error or identifies a retained3554-square-foot piece. Keep that alternate area as comparison, not an invented physical allocation. Preserve164 archivedunits and the2022 filing date.",2026-09-22,FALSE
historical,historical__M00775662,M00775662,22v1,1021800062,4752,4752,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023061600265002,"The four22v1 parcels and2023 ACRIS exact-job boundary share the same stepped outer perimeter. DOF merger96795 retains the whole four-lot site. Recover45971 square feet of archival ground and all24839 square feet of prior synagogue floor. DOB NOW later reports42417 square feet of zoning-site area; no document establishes45971 as an error or identifies a retained3554-square-foot piece. Keep that alternate area as comparison, not an invented physical allocation. Preserve164 archivedunits and the2022 filing date.",2026-09-22,FALSE
historical,historical__M00775662,M00775662,22v1,1021800063,4500,4500,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023061600265002,"The four22v1 parcels and2023 ACRIS exact-job boundary share the same stepped outer perimeter. DOF merger96795 retains the whole four-lot site. Recover45971 square feet of archival ground and all24839 square feet of prior synagogue floor. DOB NOW later reports42417 square feet of zoning-site area; no document establishes45971 as an error or identifies a retained3554-square-foot piece. Keep that alternate area as comparison, not an invented physical allocation. Preserve164 archivedunits and the2022 filing date.",2026-09-22,FALSE
historical,historical__M00775662,M00775662,22v1,1021800064,27829,27829,0,,archival_recorded_area,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentImageView?doc_id=2023061600265002,"The four22v1 parcels and2023 ACRIS exact-job boundary share the same stepped outer perimeter. DOF merger96795 retains the whole four-lot site. Recover45971 square feet of archival ground and all24839 square feet of prior synagogue floor. DOB NOW later reports42417 square feet of zoning-site area; no document establishes45971 as an error or identifies a retained3554-square-foot piece. Keep that alternate area as comparison, not an invented physical allocation. Preserve164 archivedunits and the2022 filing date.",2026-09-22,FALSE
historical,historical__210179965,210179965;210179974,18v2beta,2033080092,2242,2242,0,,automatic_filing_lot,construct_parent_cohorts owner_proximity_links,"The same-owner nearby rule links 261 East 202 Street (job 210179965, CAMBA Housing Ventures, filed the same day, 41 m away) to the reviewed 270 East 203 Street site. Its own filing lot 92 enters with its 18v2beta area and floor; the reviewed lot-59 ground is unchanged.",2026-09-24,FALSE
post_policy,post_policy__X01230263-I1,X01230263-I1;X01273665-I1,23v3_1,2030790078,4750,4750,0,,automatic_filing_lot,construct_parent_cohorts owner_proximity_links,"The same-owner nearby rule links 1973 Crotona Avenue (job X01230263-I1, Grun Group, 125 m and 75 days apart) to the reviewed 623 East 178 Street parcel. Its own filing lot 78 enters with its 23v3.1 area and floor. Public reporting treats 623 East 178 Street as a separate Grun project; the link is under review.",2026-09-24,FALSE
